name,category,city,state,website,phone,email,address
Apex Dental & Implant Centre,clinic,Ahmedabad,Gujarat,https://apexdentalclinic.in,+91 98250 12345,contact@apexdentalclinic.in,Shop 4 Sun City Complex Bodakdev Ahmedabad
Oasis Skin & Laser Clinic,clinic,Mumbai,Maharashtra,https://oasisskinmumbai.com,+91 98200 45678,info@oasisskinmumbai.com,Plot 12 Linking Road Bandra West Mumbai
Radiance Family Health Care,clinic,Bengaluru,Karnataka,https://radiancehealthcare.co.in,+91 99000 11223,appointments@radiancehealthcare.co.in,80 Feet Road Indiranagar Bengaluru
Glow & Grace Unisex Luxury Salon,salon,Ahmedabad,Gujarat,https://glowandgrace.in,+91 98790 33445,hello@glowandgrace.in,GF 2 Palladium Mall SG Highway Ahmedabad
Urban Cut Studio & Spa,salon,Pune,Maharashtra,https://urbancutstudio.com,+91 98220 77889,support@urbancutstudio.com,Lane 6 Koregaon Park Pune
Bliss Ayurveda Wellness Spa,salon,Bengaluru,Karnataka,https://blissayurvedaspablr.com,+91 98450 66778,booking@blissayurvedaspablr.com,100 Feet Road Koramangala Bengaluru
Pragati Realty & Consultants,real_estate,Ahmedabad,Gujarat,https://pragatirealty.in,+91 98240 55667,sales@pragatirealty.in,Sindhu Bhavan Road Ahmedabad
Prime Square Commercial Estates,real_estate,Mumbai,Maharashtra,https://primesquareproperties.in,+91 98190 88990,inquiry@primesquareproperties.in,Andheri Kurla Road Andheri East Mumbai
Haven Living Properties,real_estate,Bengaluru,Karnataka,https://havenlivingblr.com,+91 98800 22334,leads@havenlivingblr.com,Outer Ring Road Bellandur Bengaluru
Iron Beast Fitness Arena,gym,Pune,Maharashtra,https://ironbeastpune.com,+91 98500 99887,train@ironbeastpune.com,FC Road Shivaji Nagar Pune
FitPulse CrossFit & Strength,gym,Hyderabad,Telangana,https://fitpulsehyd.in,+91 98490 44556,info@fitpulsehyd.in,Road No 36 Jubilee Hills Hyderabad
Zenith MMA & Fitness Hub,gym,Ahmedabad,Gujarat,https://zenithfitnesshub.in,+91 98980 12389,join@zenithfitnesshub.in,Drive In Road Memnagar Ahmedabad
The Spice Route Heritage Dining,restaurant,Ahmedabad,Gujarat,https://spicerouterestaurant.in,+91 98255 66778,table@spicerouterestaurant.in,Opp AlphaOne Mall Vastrapur Ahmedabad
Café Mocha & Artisan Bakery,restaurant,Bengaluru,Karnataka,https://cafemochaartisan.in,+91 99450 33221,order@cafemochaartisan.in,Church Street Bengaluru
Urban Bistro & Pizzeria,restaurant,Mumbai,Maharashtra,https://urbanbistromumbai.com,+91 98210 99001,reserve@urbanbistromumbai.com,Carter Road Bandra West Mumbai
Spectrum IIT-JEE & NEET Academy,coaching,Ahmedabad,Gujarat,https://spectrumacademygujarat.com,+91 98795 11223,admissions@spectrumacademygujarat.com,Near Navrangpura Bus Stand Ahmedabad
Ace CAT & MBA Prep Hub,coaching,Pune,Maharashtra,https://acecatprephub.in,+91 98230 44556,counselor@acecatprephub.in,JM Road Deccan Gymkhana Pune
Bright Minds International Olympiad Academy,coaching,Delhi,Delhi,https://brightmindsdelhi.org,+91 98110 55443,director@brightmindsdelhi.org,East Patel Nagar New Delhi
QuickFix Multi-Brand Car Care,automotive,Ahmedabad,Gujarat,https://quickfixauto.co.in,+91 98244 88776,service@quickfixauto.co.in,Sanand Cross Road Sarkhej Ahmedabad
Speedy Motors & Two Wheeler Service,automotive,Bengaluru,Karnataka,https://speedymotorsblr.in,+91 98440 99112,help@speedymotorsblr.in,Hosur Main Road Bommanahalli Bengaluru
